status,source_account_folder,source_account_id,source_bucket,bucket_key,db_path,rows_read,error
OK,account_1513550380_DEMO,1513550380_DEMO,EURGBP_63_4.21.189_SELL_2026-06-02_to_2026-06-04,EURGBP_63_4.21.189_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/EURGBP_63_4.21.189_SELL_2026-06-02_to_2026-06-04/trades.db,3,
OK,account_1513550380_DEMO,1513550380_DEMO,EURGBP_70_2.27.108_SELL_2026-06-03_to_2026-06-04,EURGBP_70_2.27.108_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/EURGBP_70_2.27.108_SELL_2026-06-03_to_2026-06-04/trades.db,2,
OK,account_1513550380_DEMO,1513550380_DEMO,EURGBP_7_3.16.177_SELL_2026-06-01_to_2026-06-03,EURGBP_7_3.16.177_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/EURGBP_7_3.16.177_SELL_2026-06-01_to_2026-06-03/trades.db,4,
OK,account_1513550380_DEMO,1513550380_DEMO,EURGBP_8_6.1.186_SELL_2026-06-02_to_2026-06-03,EURGBP_8_6.1.186_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/EURGBP_8_6.1.186_SELL_2026-06-02_to_2026-06-03/trades.db,2,
OK,account_1513550380_DEMO,1513550380_DEMO,EURGBP_9_5.2.127_SELL_2026-06-03_to_2026-06-03,EURGBP_9_5.2.127_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/EURGBP_9_5.2.127_SELL_2026-06-03_to_2026-06-03/trades.db,1,
OK,account_1513550380_DEMO,1513550380_DEMO,EURUSD_11_1.42.105_SELL_2026-06-04_to_2026-06-04,EURUSD_11_1.42.105_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/EURUSD_11_1.42.105_SELL_2026-06-04_to_2026-06-04/trades.db,1,
OK,account_1513550380_DEMO,1513550380_DEMO,EURUSD_12_3.47.124_BUY_2026-06-01_to_2026-06-04,EURUSD_12_3.47.124_BUY,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/EURUSD_12_3.47.124_BUY_2026-06-01_to_2026-06-04/trades.db,4,
OK,account_1513550380_DEMO,1513550380_DEMO,EURUSD_13_6.46.178_BUY_2026-06-01_to_2026-06-02,EURUSD_13_6.46.178_BUY,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/EURUSD_13_6.46.178_BUY_2026-06-01_to_2026-06-02/trades.db,2,
OK,account_1513550380_DEMO,1513550380_DEMO,EURUSD_14_5.6.167_BUY_2026-06-01_to_2026-06-03,EURUSD_14_5.6.167_BUY,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/EURUSD_14_5.6.167_BUY_2026-06-01_to_2026-06-03/trades.db,3,
OK,account_1513550380_DEMO,1513550380_DEMO,EURUSD_59_2.34.129_SELL_2026-06-01_to_2026-06-04,EURUSD_59_2.34.129_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/EURUSD_59_2.34.129_SELL_2026-06-01_to_2026-06-04/trades.db,4,
