bucket_key,status,source_strategy_dbs,source_accounts,rows_written,output_db,first_close_time_utc,last_close_time_utc
GBPUSD_20_1.32.126_BUY,OK,1,1513550380_DEMO,2,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/GBPUSD_20_1.32.126_BUY_2026-06-04_to_2026-06-04/trades.db,2026-06-04 12:38:19+0000,2026-06-04 23:45:00+0000
GBPUSD_21_3.3.167_BUY,OK,1,1513550380_DEMO,4,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/GBPUSD_21_3.3.167_BUY_2026-06-01_to_2026-06-04/trades.db,2026-06-01 23:45:00+0000,2026-06-04 23:45:00+0000
GBPUSD_74_6.52.179_SELL,OK,1,1513550380_DEMO,1,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/GBPUSD_74_6.52.179_SELL_2026-06-02_to_2026-06-02/trades.db,2026-06-02 23:45:00+0000,2026-06-02 23:45:00+0000
GBPUSD_81_5.6.129_SELL,OK,1,1513550380_DEMO,3,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/GBPUSD_81_5.6.129_SELL_2026-06-01_to_2026-06-04/trades.db,2026-06-01 09:55:57+0000,2026-06-04 23:45:00+0000
GBPUSD_93_0.111778_BUY,OK,1,1513550384_DEMO,2,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/GBPUSD_93_0.111778_BUY_2026-06-03_to_2026-06-04/trades.db,2026-06-03 17:00:00+0000,2026-06-04 14:17:09+0000
NZDUSD_23_2.12.147_SELL,OK,1,1513550384_DEMO,1,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/NZDUSD_23_2.12.147_SELL_2026-06-04_to_2026-06-04/trades.db,2026-06-04 23:45:00+0000,2026-06-04 23:45:00+0000
NZDUSD_24_4.41.120_SELL,OK,1,1513550384_DEMO,4,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/NZDUSD_24_4.41.120_SELL_2026-06-01_to_2026-06-04/trades.db,2026-06-01 23:45:00+0000,2026-06-04 07:22:44+0000
NZDUSD_25_5.7.105_SELL,OK,1,1513550384_DEMO,3,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/NZDUSD_25_5.7.105_SELL_2026-06-02_to_2026-06-04/trades.db,2026-06-02 21:21:16+0000,2026-06-04 23:45:00+0000
NZDUSD_26_2.6.180_SELL,OK,1,1513550384_DEMO,3,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/NZDUSD_26_2.6.180_SELL_2026-06-01_to_2026-06-04/trades.db,2026-06-01 23:45:00+0000,2026-06-04 23:45:00+0000
NZDUSD_27_6.16.107_SELL,OK,1,1513550384_DEMO,1,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/NZDUSD_27_6.16.107_SELL_2026-06-05_to_2026-06-05/trades.db,2026-06-05 04:21:32+0000,2026-06-05 04:21:32+0000
NZDUSD_75_4.73.120_SELL,OK,1,1513550384_DEMO,1,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/NZDUSD_75_4.73.120_SELL_2026-06-04_to_2026-06-04/trades.db,2026-06-04 23:45:00+0000,2026-06-04 23:45:00+0000
NZDUSD_76_5.71.164_BUY,OK,1,1513550384_DEMO,3,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/NZDUSD_76_5.71.164_BUY_2026-06-01_to_2026-06-04/trades.db,2026-06-01 12:49:26+0000,2026-06-04 14:09:22+0000
NZDUSD_88_5.57.183_SELL,OK,1,1513550384_DEMO,1,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/NZDUSD_88_5.57.183_SELL_2026-06-04_to_2026-06-04/trades.db,2026-06-04 23:45:00+0000,2026-06-04 23:45:00+0000
NZDUSD_97_3.8.175_SELL,OK,1,1513550384_DEMO,1,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/NZDUSD_97_3.8.175_SELL_2026-06-02_to_2026-06-02/trades.db,2026-06-02 23:45:00+0000,2026-06-02 23:45:00+0000
